鄉鎮市區,交易標的,土地移轉總面積(平方公尺),使用分區或編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
鳳山區,房地(土地+建物),67,商,1041101,土地2建物1車位0,見其他登記事項,3,店面(店鋪),住商用,630524,150.4,6,1,3,有,無,無,26000,173,無,0,0,無
左營區,建物,80,住,1041028,土地0建物1車位0,全,3,透天厝,,700411,160.17,0,0,0,無,無,無,14000,87,無,0,0,無
左營區,建物,135,住,1041030,土地0建物1車位0,全,5,透天厝,住商用,960706,21.69,1,1,1,有,無,有,6000,277,無,0,0,無
左營區,房地(土地+建物),8.52,住,1041031,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),住商用,950629,88.52,0,0,0,無,無,有,19000,215,無,0,0,無
新興區,房地(土地+建物),59,商,1041102,土地1建物1車位0,全,3,透天厝,,571101,156.24,0,0,0,無,無,有,30000,192,無,0,0,無
新興區,建物,0,,1041030,土地0建物1車位0,八層,10,辦公商業大樓,,651124,77.36,0,0,0,無,有,無,12000,155,無,0,0,無
鼓山區,房地(土地+建物),161.1,住,1041022,土地1建物1車位0,全,5,透天厝,住家用,921210,103.11,0,0,0,無,無,有,30000,291,無,0,0,無
小港區,房地(土地+建物),83,住,1041101,土地1建物1車位0,全,3,透天厝,,680629,160.4,3,2,3,有,無,無,22000,137,無,0,0,無
前鎮區,房地(土地+建物),189,商,1041101,土地1建物1車位0,全,3,透天厝,住商用,640726,460.32,2,2,4,有,無,有,71500,155,無,0,0,無
前鎮區,建物,0,商,1041018,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,941228,154.41,2,1,2,有,有,有,20000,130,坡道機械,28.48,0,無
前鎮區,房地(土地+建物),6.06,住,1041027,土地1建物1車位0,二十四層,27,住宅大樓(11層含以上有電梯),住家用,860527,153.7,4,2,2,有,有,有,15000,98,無,0,0,無
前鎮區,建物,0,,1041029,土地0建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,950302,203.87,4,2,2,有,有,有,19000,93,坡道平面,0,0,租金含家具家電及1個汽車位1個機車位
鼓山區,房地(土地+建物),7.65,住,1041101,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,950414,84.31,2,1,1,有,有,有,14594,173,無,0,0,無
新興區,建物,0,住,1041101,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,960413,139.36,3,2,2,有,無,有,20000,144,無,0,0,無
左營區,房地(土地+建物),24.88,住,1041027,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,940131,177.98,3,2,2,有,有,有,30000,169,無,0,0,無
左營區,房地(土地+建物)+車位,24.88,住,1041026,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,940131,179.39,3,2,2,有,有,有,30000,167,坡道平面,31.28,0,無
三民區,房地(土地+建物),11,住,1041101,土地1建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,850528,125.79,3,2,2,有,有,無,13000,103,無,0,0,無
三民區,建物,0,商,1041030,土地0建物1車位0,全,3,透天厝,,620130,107.91,0,0,0,無,無,無,50000,463,無,0,0,無
三民區,建物,0,商,1041102,土地0建物1車位0,全,2,透天厝,住家用,600427,120.94,2,2,2,有,無,無,18000,149,無,0,0,無
大寮區,房地(土地+建物),26,住,1041021,土地1建物1車位0,全,2,透天厝,住商用,600610,142.48,2,0,0,無,無,無,15000,105,無,0,0,租一樓前半段店面.以牆壁為界
新興區,房地(土地+建物),49.88,商,1041006,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),,640419,114.44,4,2,2,有,無,無,17000,149,無,0,0,無
