鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
前鎮區,房地(土地+建物),高雄市前鎮區光華二路211~240號,81.0,住,,,1060901,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0660131,219.96,6,2,3,有,無,有,28000,127,,0.0,0,,RPQNMLQKRHMFFCE88CC
三民區,建物,高雄市三民區皓東路151~180號,0.0,商,,,1060828,土地0建物1車位0,十四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830523,116.64,4,2,2,有,有,有,18000,154,,0.0,0,,RPRNMLQKRHMFFDE09CC
三民區,建物,高雄市三民區孝順街23巷1~30號,57.0,住,,,1060916,土地0建物1車位0,全,3,透天厝,,加強磚造,0631108,109.02,5,1,3,有,無,有,16000,147,,0.0,0,,RPWNMLSKRHMFFDE17CC
前鎮區,房地(土地+建物),高雄市前鎮區瑞忠街91~120號,52.92,住,,,1060916,土地1建物1車位0,全,2,透天厝,,鋼筋混凝土造,0750730,122.99,4,2,3,有,無,無,13500,110,,0.0,0,,RPUNMLSKRHMFFCE86CC
新興區,建物,高雄市新興區復橫一路151~180號,0.0,商,,,1060917,土地0建物1車位0,一層,11,店面(店鋪),,鋼筋混凝土造,0690604,87.36,0,0,0,無,無,無,26000,298,,0.0,0,,RPVNMLSKRHMFFBE86CC
新興區,建物,高雄市新興區林森一路181~210號,0.0,商,,,1060911,土地0建物1車位0,十二層,12,辦公商業大樓,住家用,鋼筋混凝土造,0841214,168.88,0,0,0,無,無,無,19000,113,,0.0,0,,RPWNMLSKRHMFFBE96CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新光路62巷1~30號,4.54,住,,,1060916,土地1建物1車位1,二十八層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,133.92000000000002,3,2,2,有,有,有,13500,101,坡道平面,12.65,0,,RPXNMLSKRHMFFBE07CC
左營區,房地(土地+建物),高雄市左營區孟子路31~60號,55.52,住,,,1060820,土地1建物1車位0,全,5,透天厝,住商用,見使用執照,0930713,27.14,0,0,1,有,無,無,15000,553,,0.0,0,承租樓層:1樓,RPVNMLSKRHMFFEE17CC
左營區,房地(土地+建物),高雄市左營區孟子路31~60號,55.52,住,,,1060820,土地1建物1車位0,全,5,透天厝,住商用,見使用執照,0930713,153.27,6,2,3,有,無,無,15000,98,,0.0,0,承租樓層:二樓、三樓、四樓、五樓,RPWNMLSKRHMFFEE27CC
楠梓區,房地(土地+建物)+車位,高雄市楠梓區盛昌街301~330號,9.97,商,,,1060915,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050224,130.46,2,2,2,有,有,有,15000,115,坡道機械,0.0,0,租金含管理費。,RPQOMLSKRHMFFEE76CC
路竹區,房地(土地+建物),高雄市路竹區智仁街181~210號,78.81,住,,,1060918,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0811204,185.72,5,2,3,有,無,無,18000,97,,0.0,0,,RPTNMLSKRHMFFJE47CC
仁武區,建物,高雄市仁武區仁雄路91~120號,694.49,住,,,1060829,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1060330,257.73,0,0,0,無,無,無,31000,120,,0.0,0,,RPRNMLTKRHMFFIE27CC
